series_title,blog_title,prompt_type,image_url,file_name,date_generated
The Night Agent,Unraveling the Secrets of 'The Night Agent',general,https://image.tmdb.org/t/p/w500/4c5yUNcaff4W4aPrkXE6zr7papX.jpg,The_Night_Agent_2025-01-26.html, 2025-01-26 20:44:26
Severance,Unraveling the Mind: The Intriguing World of 'Severance',general,https://image.tmdb.org/t/p/w500/pPHpeI2X1qEd1CS1SeyrdhZ4qnT.jpg,Severance_2025-01-26.html,2025-01-26 21:04:43
Squid Game,The Cutthroat Allure of 'Squid Game': A Dystopian Playground,general,https://image.tmdb.org/t/p/w500/1QdXdRYfktUSONkl1oD5gc6Be0s.jpg,Squid_Game_2025-01-26.html,2025-01-26 21:09:54
Breaking Bad,“Methamphetamine and Morality: Top 10 Must-See Episodes of Breaking Bad”,list,https://image.tmdb.org/t/p/w500/ztkUQFLlC19CCMYHW9o1zWhJRNq.jpg,Breaking_Bad_2025-01-26.html,2025-01-26 21:12:18
Hazbin Hotel,The Cream of the Crop: Top Episodes of ‘Hazbin Hotel’,list,https://image.tmdb.org/t/p/w500/rXojaQcxVUubPLSrFV8PD4xdjrs.jpg,Hazbin_Hotel_2025-01-26.html,2025-01-26 21:15:52
I Am Nobody,Secrets and Superpowers in 'I Am Nobody',general,https://image.tmdb.org/t/p/w500/aZT7iZwR4LE2kk7sXWslgpOP7oT.jpg,I_Am_Nobody_2025-01-26.html,2025-01-26 21:21:04
Squid Game,"""Life and Death: The Philosophical Depths of 'Squid Game'""",philosophy_general,https://image.tmdb.org/t/p/w500/1QdXdRYfktUSONkl1oD5gc6Be0s.jpg,Squid_Game_2025-06-28.html,2025-06-28 21:27:08
Ironheart,"""Ironheart: Crafting Relativism in a World of Technology and Magic""",philosophy_random,https://image.tmdb.org/t/p/w500/1z0nm8ZkPfxYuIdjZXxSIgl8SCz.jpg,Ironheart_2025-06-28.html,2025-06-28 21:50:00
The Daily Show,Idealism in Satire: How 'The Daily Show' Reflects Optimism Amidst Chaos,philosophy_random,https://image.tmdb.org/t/p/w500/ixcfyK7it6FjRM36Te4OdblAq4X.jpg,The_Daily_Show_2025-06-28.html,2025-06-28 23:57:02
The Late Late Show with Craig Ferguson,The Charm of Late-Night: A Journey Through 'The Late Late Show with Craig Ferguson',general,https://image.tmdb.org/t/p/w500/gGC7zSDgG0FY0MbM1pjfhTCWQBI.jpg,The_Late_Late_Show_with_Craig_Ferguson_2025-06-28.html,2025-06-28 23:57:55
Late Night with Seth Meyers,Exploring the Depths: Philosophical Themes in 'Late Night with Seth Meyers',philosophy_general,https://image.tmdb.org/t/p/w500/rw0QaegwgKbRoB2CZe2lfewltT9.jpg,Late_Night_with_Seth_Meyers_2025-06-28.html,2025-06-28 23:59:04
